epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.58212,3.18151,8.00286,2.13147,0.00055,0.14667,0.00039,0.00012,3.58019,6.04042,2.31975,8e-05,8e-05,8e-05
2,4.64531,2.85811,7.83686,2.11876,0.00045,0.12,0.00031,0.00012,3.70885,5.89461,2.4252,0.00016218,0.00016218,0.00016218
3,5.75078,2.60055,7.02514,1.83247,0.00045,0.12,0.00032,0.00013,3.39026,5.74135,2.33592,0.00022456,0.00022456,0.00022456
4,6.79036,2.02058,6.19003,1.56028,0.00065,0.17333,0.00047,0.00017,3.18839,5.46044,2.21776,0.00026714,0.00026714,0.00026714
5,7.7511,1.51299,4.98138,1.25086,0.0007,0.18667,0.00056,0.00026,2.77458,5.00261,1.99227,0.00028992,0.00028992,0.00028992
6,8.68144,1.34935,4.80438,1.16233,0.0009,0.24,0.0012,0.0005,2.31461,4.81279,1.78681,0.0002929,0.0002929,0.0002929
7,9.67955,1.3091,4.04044,1.13058,0.00129,0.34667,0.00162,0.00098,1.61074,4.29545,1.46373,0.00027608,0.00027608,0.00027608
8,10.6696,1.12262,3.58657,1.03644,0.00164,0.44,0.00241,0.00134,1.46924,4.14907,1.27933,0.00023946,0.00023946,0.00023946
9,11.6441,1.07607,3.15198,0.99874,0.00194,0.52,0.00703,0.00346,1.4007,3.89058,1.17303,0.00018304,0.00018304,0.00018304
10,12.6147,1.2256,3.5773,1.04715,0.00224,0.6,0.00606,0.00468,1.3395,3.76941,1.13016,0.00010682,0.00010682,0.00010682
