filename,expected_label,time,fog,rain,found_sign,best_conf,matched_expectation
No_Signs_time(13)_fog(75)_rain(0)_1.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(13)_fog(75)_rain(0)_10.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(13)_fog(75)_rain(0)_11.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(13)_fog(75)_rain(0)_12.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(13)_fog(75)_rain(0)_13.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(13)_fog(75)_rain(0)_14.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(13)_fog(75)_rain(0)_15.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(13)_fog(75)_rain(0)_2.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(13)_fog(75)_rain(0)_3.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(13)_fog(75)_rain(0)_4.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(13)_fog(75)_rain(0)_5.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(13)_fog(75)_rain(0)_6.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(13)_fog(75)_rain(0)_7.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(13)_fog(75)_rain(0)_8.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(13)_fog(75)_rain(0)_9.jpg,No_Signs,13,75,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_176.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_177.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_178.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_179.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_180.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_181.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_182.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_183.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_184.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_185.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_186.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_187.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_188.jpg,No_Signs,16,25,0,False,0.00,True
